Transfer Number,Transfer Date,Vendor Name,Vendor Address,Vendor Phone,Vendor Fax,Transferred To,Destination Address,Destination Phone,Destination Email,Req Ship Date,Delivery Method,Shipment Terms,Freight Carrier,Weight,Invoice Number,Serial Num,Barcode,Bundle,Block,Slab Number,Description,Quantity,Quantity SF,Quantity Slabs,Item Code,Item Name,Bin,Unit Price,Total Price
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-11,ES9182075,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-12,ES9182076,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-13,ES9182077,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-14,ES9182078,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-15,ES9182079,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-16,ES9232069,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-17,ES9232070,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-18,ES9232071,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-19,ES9232072,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-20,ES9232073,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-21,ES9232074,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-22,ES9232075,3/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-23,ES9232076,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-24,ES9232077,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-25,ES9232078,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-26,ES9232079,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-27,ES9232080,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-28,ES9232081,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,12070-29,ES9232082,4/12070,A-4,"136"" X 79"" = 74.61",Taj Mahal PST Face M 3CM,"136"" X 79"" = 74.61",74.61,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-8,ES9836823,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-9,ES9836824,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-10,ES9836825,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-11,ES9836826,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-12,ES9836827,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-13,ES9836828,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-14,ES9836829,2/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-22,ES9836837,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-23,ES9836838,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-24,ES9836839,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-25,ES9836840,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-26,ES9836841,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-27,ES9836842,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11940-28,ES9836843,4/11940,B-4,"138"" X 79"" = 75.71",Taj Mahal PST Face T 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
